Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IEditable,isEditable,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IEditable,isDirty,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IEditable,save,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IEditable,setDirty,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IIdentifiable,getId,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IIdentifiable,setId,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,dispose,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,getResourceString,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,getUnderlyingResource,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,isDisposed,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,isEditable,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,isLoaded,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,isInSync,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,getTimeStamp,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,load,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,load,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModel,reload,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangeProvider,addModelChangedListener,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangeProvider,fireModelChanged,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangeProvider,fireModelObjectChanged,0,1,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangeProvider,removeModelChangedListener,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedEvent,getChangedObjects,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedEvent,getChangedProperty,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedEvent,getOldValue,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedEvent,getNewValue,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedEvent,getChangeType,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IModelChangedListener,modelChanged,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ISourceObject,getStartLine,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ISourceObject,getStopLine,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,IWritable,write,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,ModelChangedEvent,5,1,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,ModelChangedEvent,7,1,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,getChangedObjects,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,getChangedProperty,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,getOldValue,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,getNewValue,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core,ModelChangedEvent,getChangeType,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuild,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuild,getBuildEntries,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuild,getEntry,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuild,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,addToken,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,getModel,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,getName,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,getTokens,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,contains,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,removeToken,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,renameToken,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildEntry,setName,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildModel,getBuild,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildModel,getFactory,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildModel,getInstallLocation,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.build,IBuildModelFactory,createEntry,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,getPluginId,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,getPluginVersion,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,getRule,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,setPluginId,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,setPluginVersion,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragment,setRule,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IFragmentModel,getFragment,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPlugin,getClassName,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPlugin,setClassName,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginAttribute,getValue,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginAttribute,setValue,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getExtensionPoints,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getExtensions,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getLibraries,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getImports,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getProviderName,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,getVersion,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,setProviderName,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,setVersion,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,swap,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginBase,swap,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,createCopy,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,getAttribute,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,getAttributes,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,getAttributeCount,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,getText,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,setAttribute,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginElement,setText,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginExtension,getPoint,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginExtension,setPoint,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginExtensionPoint,getFullId,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginExtensionPoint,getSchema,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginExtensionPoint,setSchema,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginImport,isReexported,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginImport,isOptional,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginImport,setReexported,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginImport,setOptional,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,getContentFilters,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,getPackages,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,isExported,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,isFullyExported,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,getType,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,setContentFilters,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,setPackages,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,setExported,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginLibrary,setType,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModel,getPlugin,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,createPluginBase,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,getBuildModel,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,getFactory,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,getInstallLocation,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,getPluginBase,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,getPluginBase,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,isEnabled,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,isFragmentModel,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelBase,setEnabled,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createAttribute,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createElement,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createExtension,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createExtensionPoint,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createImport,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginModelFactory,createLibrary,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getModel,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getName,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,isInTheModel,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getTranslatedName,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getParent,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getPluginBase,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,getResourceString,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginObject,setName,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,add,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,add,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,getChildCount,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,getIndexOf,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,swap,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,getChildren,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginParent,remove,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginReference,getMatch,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginReference,getVersion,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginReference,setMatch,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.core.plugin,IPluginReference,setVersion,0,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,AbstractModel,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,addModelChangedListener,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,createNLResourceHelper,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,dispose,7,2,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,fireModelChanged,6,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,fireModelObjectChanged,3,1,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,getResourceString,8,4,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,getUnderlyingResource,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,isInSync,9,3,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,getTimeStamp,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,updateTimeStamp,0,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,updateTimeStamp,3,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,isDisposed,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,isLoaded,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,setLoaded,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,removeModelChangedListener,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,AbstractModel,throwParseErrorsException,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,deleteFile,5,2,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,deleteFolder,5,2,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,deleteProject,3,1,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFile,5,2,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFolder,5,2,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveProject,3,1,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,validateEdit,8,3,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,validateSave,6,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,BinaryRepositoryProvider,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,configureProject,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,deconfigure,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,getFileModificationValidator,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,getID,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,getMoveDeleteHook,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,isBinaryResource,12,5,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,createProblemStatus,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,createOKStatus,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryRepositoryProvider,canHandleLinkedResources,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,deleteFile,5,2,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,deleteFolder,5,2,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,deleteProject,3,1,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFile,5,2,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFolder,5,2,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveProject,3,1,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryFileModificationValidator,validateEdit,8,3,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,BinaryFileModificationValidator,validateSave,6,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,Choice,Choice,4,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,Choice,getValue,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,Choice,getLabel,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,Choice,toString,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,setClasspath,29,4,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,computePluginEntries,27,7,5
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,computePluginEntries,5,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addMissingDependencyAsProject,5,1,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addDependency,28,10,6
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addFragmentLibraries,10,4,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addFragmentsWithSource,10,4,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addImplicitDependencies,10,5,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addJRE,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addLibraries,7,3,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addParentPlugin,15,5,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addSourceAndLibraries,39,11,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,addSourceFolder,6,1,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,ensureFolderExists,10,3,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,createContainerEntry,4,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,createLibraryEntry,21,5,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,expandLibraryName,23,9,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,getBuildEntries,12,4,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,getSourceAnnotation,17,5,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,resolveLibraryInFragments,8,3,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ClasspathUtilCore,getPath,14,4,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreArraySorter,compare,6,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreSorter,compare,0,1,2
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreSorter,quickSort,20,7,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreSorter,sort,7,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreSorter,sortInPlace,4,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreUtility,addNatureToProject,9,1,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreUtility,createFolder,9,3,4
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,CoreUtility,createProject,9,2,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EclipseHomeInitializer,run,25,6,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EclipseHomeInitializer,initialize,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EclipseHomeInitializer,resetEclipseHomeVariables,7,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EclipseHomeInitializer,createEclipseRelativeHome,17,4,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,SetEclipseVariablesOperation,run,25,6,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EntryFileAdapter,EntryFileAdapter,4,1,3
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,EntryFileAdapter,getEntry,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,computeDefaultPlatformPath,5,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,getCorrectPath,20,6,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,getEclipseHome,4,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,ExternalModelManager,3,1,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,addModelProviderListener,3,1,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,createSavedList,8,2,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,enableAll,4,3,0
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,findExtensionPoint,15,6,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,findPlugin,7,3,1
eclipse.pde.ui-20030310-precopyrightupdate,org.eclipse.pde.internal.core,ExternalModelManager,fireModelProviderEvent,6,2,1
